City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,santo antonio,-6.3106,-35.4789,73.26,78,94,8.95,BR,1697339038
113,vila velha,-20.3297,-40.2925,71.55,96,75,10.36,BR,1697338831
114,codrington,-38.2667,141.9667,59.16,52,100,16.33,AU,1697339039
115,turpan,42.9333,89.1667,69.8,32,11,2.08,CN,1697339039
116,port elizabeth,-33.918,25.5701,54.32,97,100,3.44,ZA,1697339039
117,saipan,15.1355,145.701,86.7,70,20,6.91,MP,1697339039
118,bilibino,68.0546,166.4372,18.95,96,99,1.97,RU,1697339039
119,stanley,54.868,-1.6985,34.79,85,0,8.05,GB,1697339039
120,jenks,36.0229,-95.9683,59.29,62,100,5.75,US,1697339039
121,wailua homesteads,22.0669,-159.378,86.43,67,20,17.27,US,1697339039
122,callao,-12.0667,-77.15,68.72,77,40,10.36,PE,1697339040
123,loango,-4.6719,11.8312,76.66,94,75,3.44,CG,1697339040
124,pechora,65.1472,57.2244,34.86,67,99,15.01,RU,1697339040
125,kisanga,-7.4362,37.7034,74.61,79,94,2.08,TZ,1697339040
126,ebon,4.582,168.6964,84.16,71,100,7.2,MH,1697339040
127,santa comba dao,40.3986,-8.1316,60.73,85,94,1.14,PT,1697339041
128,la'ie,21.6477,-157.9253,82.45,71,47,4.0,US,1697339041
129,taunggyi,20.7833,97.0333,70.77,74,1,2.51,MM,1697339041
130,tanjung pandan,-2.75,107.65,89.85,48,100,7.81,ID,1697338949
131,bhachau,23.2833,70.35,80.2,64,0,8.1,IN,1697339041
132,ghadamis,30.1337,9.5007,69.19,25,0,9.06,LY,1697339041
133,colares,38.7992,-9.4469,67.75,89,99,11.99,PT,1697339042
134,island harbour,50.724,-1.2758,44.02,89,0,3.0,GB,1697339042
135,hola,51.5377,23.1902,51.98,66,99,10.74,PL,1697339042
136,santa rita,-7.1139,-34.9781,79.47,83,40,10.36,BR,1697338962
137,chonchi,-42.6128,-73.8092,46.11,96,34,3.09,CL,1697339042
